Incipit	<unknown>	X	_
Ludus	odus	X	_
de	de	X	_
nocte	nox	X	_
paschae	pasce	X	_
de	de	X	_
tribus	tres	X	_
Mariis	iarius	X	_
vel	vel	X	_
Tres	res	X	_
Mariae	iarius	X	_
.	.	X	_
Prima	primus	X	_
Maria	iarius	X	_
cantat	canto	X	_
:	:	X	_
HEu	is	X	_
nobis	ego	X	_
internas	internus	X	_
mentes	mens	X	_
quanti	quantus	X	_
pulsant	pulso	X	_
gemitus	gigno	X	_
pro	pro	X	_
nostro	noster	X	_
consolatore	consolator	X	_
","		X	_
quo	qui	X	_
privamur	privo	X	_
miserae	miser	X	_
","		X	_
quem	qui	X	_
crudelis	crudelus	X	_
Iudaeorum	<unknown>	X	_
morti	mors	X	_
dedit	do	X	_
populus	populus	X	_
.	.	X	_
Secunda	ecundus	X	_
Maria	iarius	X	_
:	:	X	_
Iam	<unknown>	X	_
percusso	percudo	X	_
ceu	ceu	X	_
pastore	pastor	X	_
oves	ovis	X	_
errant	erro	X	_
miserae	miser	X	_
","		X	_
sic	sic	X	_
magistro	magister	X	_
discedente	discedo	X	_
turbantur	turbo	X	_
discipuli	discipulus	X	_
atque	atque	X	_
nos	ego	X	_
absente	abso	X	_
eo	is	X	_
dolor	dolor	X	_
tenet	teneo	X	_
nimius	nimis	X	_
.	.	X	_
Tertia	tertius	X	_
Maria	iarius	X	_
:	:	X	_
Sed	ed	X	_
eamus	eo	X	_
et	et	X	_
ad	ad	X	_
eius	is	X	_
properemus	propero	X	_
tumulum	tumulus	X	_
:	:	X	_
si	si	X	_
dileximus	dilexo	X	_
viventem	vivo	X	_
","		X	_
diligamus	diligo	X	_
mortuum	mortus	X	_
et	et	X	_
ungamus	ungo	X	_
corpus	corpus	X	_
eius	is	X	_
oleo	oleus	X	_
sanctissimo	sanctus	X	_
.	.	X	_
Prima	primus	X	_
Maria	iarius	X	_
dicit	dico	X	_
Rickmum	<unknown>	X	_
Secunda	ecundus	X	_
Maria	iarius	X	_
dicit	dico	X	_
Rickmum	<unknown>	X	_
:	:	X	_
Tertia	tertius	X	_
Maria	iarius	X	_
dicit	dico	X	_
Rickmum	<unknown>	X	_
:	:	X	_
Et	et	X	_
immediate	immediatus	X	_
procedentes	procedo	X	_
ad	ad	X	_
sepulcrum	sepulcrum	X	_
simul	simul	X	_
cantando	canto	X	_
antiphonam	antiphona	X	_
:	:	X	_
Sed	ed	X	_
eamus	is	X	_
unguentum	unguentum	X	_
emere	emo	X	_
","		X	_
cum	cum	X	_
quo	qui	X	_
bene	bene	X	_
possimus	possum	X	_
ungere	ungo	X	_
corpus	corpus	X	_
domini	dominus	X	_
sacratissimum	sacratus	X	_
.	.	X	_
Tres	res	X	_
Mariae	iarius	X	_
cantant	canto	X	_
:	:	X	_
Quis	qui	X	_
revolvet	revolveo	X	_
nobis	ego	X	_
ab	a	X	_
ostio	ostium	X	_
lapidem	lapis	X	_
","		X	_
quem	qui	X	_
tegere	tego	X	_
sanctum	sanctus	X	_
cernimus	cerno	X	_
sepulcrum	sepulcrus	X	_
?	.	X	_
Tertia	tertius	X	_
Maria	iarius	X	_
dicit	dico	X	_
Rickmum	<unknown>	X	_
:	:	X	_
Tunc	<unknown>	X	_
angeli	angelus	X	_
cantant	canto	X	_
:	:	X	_
Quem	tu	X	_
quaeritis	quaeris	X	_
","		X	_
o	o	X	_
tremulae	tremula	X	_
mulieres	mulier	X	_
","		X	_
in	in	X	_
hoc	hic	X	_
tumulo	tumulum	X	_
plorantes	ploro	X	_
?	.	X	_
Et	et	X	_
primus	primus	X	_
angelus	angelus	X	_
dicit	dico	X	_
Rickmum	<unknown>	X	_
:	:	X	_
Mariae	iarius	X	_
simul	simul	X	_
cantant	canto	X	_
antiphonam	antiphona	X	_
:	:	X	_
Ihesum	hes	X	_
Nazarenum	sazarenus	X	_
crucifixum	crucifigo	X	_
quaerimus	quaero	X	_
.	.	X	_
Tertia	tertius	X	_
Maria	iarius	X	_
dicit	dico	X	_
Rickmum	<unknown>	X	_
:	:	X	_
Angeli	ingelus	X	_
simul	simul	X	_
cantant	canto	X	_
:	:	X	_
Non	son	X	_
est	sum	X	_
hic	hic	X	_
","		X	_
quem	qui	X	_
quaeritis	quaeris	X	_
","		X	_
sed	sed	X	_
cito	cigo	X	_
euntes	eo	X	_
nuntiate	nuntio	X	_
discipulis	discipulus	X	_
eius	is	X	_
et	et	X	_
Petro	<unknown>	X	_
","		X	_
quia	quia	X	_
surrexit	surrigo	X	_
Ihesus	<unknown>	X	_
.	.	X	_
Secundus	ecundus	X	_
angelus	angelus	X	_
dicit	dico	X	_
Rickmum	<unknown>	X	_
:	:	X	_
Et	et	X	_
tunc	tunc	X	_
angeli	angelus	X	_
simul	simul	X	_
cantant	canto	X	_
:	:	X	_
Venite	<unknown>	X	_
et	et	X	_
videte	video	X	_
locum	locus	X	_
","		X	_
ubi	ubi	X	_
positus	positus	X	_
erat	sum	X	_
dominus	dominus	X	_
!	.	X	_
alleluia	alleluis	X	_
!	.	X	_
alleluia	alleluis	X	_
!	.	X	_
Tertius	tertius	X	_
angelus	angelus	X	_
dicit	dico	X	_
Rickmum	<unknown>	X	_
:	:	X	_
Tunc	<unknown>	X	_
Mariae	iarius	X	_
recedendo	recedo	X	_
simul	simul	X	_
cantant	canto	X	_
:	:	X	_
Ad	id	X	_
monumentum	monumentum	X	_
venimus	venio	X	_
gementes	gemens	X	_
","		X	_
angelos	angelus	X	_
domini	dominus	X	_
sedentes	sedens	X	_
vidimus	vidimus	X	_
et	et	X	_
dicentes	dico	X	_
","		X	_
quia	quia	X	_
surrexit	surrigo	X	_
Ihesus	<unknown>	X	_
.	.	X	_
Prima	primus	X	_
Maria	iarius	X	_
dicit	dico	X	_
Rickmum	<unknown>	X	_
:	:	X	_
Tunc	<unknown>	X	_
procedunt	procedo	X	_
","		X	_
et	et	X	_
cantat	canto	X	_
prima	primus	X	_
recedens	recedo	X	_
versum	versus	X	_
","		X	_
deinde	deinde	X	_
secunda	secundus	X	_
tecundum	tecundum	X	_
versum	versus	X	_
","		X	_
deinde	deinde	X	_
tertia	tertius	X	_
ultimum	ulterior	X	_
versum	versus	X	_
","		X	_
ulterius	ulterior	X	_
procedendo	procedo	X	_
cantando	canto	X	_
:	:	X	_
Prima	primus	X	_
Maria	iarius	X	_
:	:	X	_
Ihesu	<unknown>	X	_
","		X	_
nostra	noster	X	_
redemptio	redemptio	X	_
","		X	_
amor	amor	X	_
et	et	X	_
desiderium	desiderium	X	_
","		X	_
deus	deus	X	_
creator	creator	X	_
omnium	omnis	X	_
","		X	_
homo	homo	X	_
in	in	X	_
fine	finis	X	_
